,Account,Tweet_text,timestamp,compound,positive,negative,neutral
10,CBS,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,2018-06-20 00:39:01,0.3555,0.199,0.122,0.68
11,CBS,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,2018-06-18 20:27:50,0.0,0.0,0.0,1.0
12,CBS,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,2018-06-18 15:00:46,0.0,0.0,0.0,1.0
13,CBS,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",2018-06-17 13:00:01,0.9392,0.493,0.0,0.507
14,CBS,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",2018-06-15 18:48:29,0.3595,0.128,0.0,0.872
15,CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",2018-06-14 17:30:00,-0.296,0.0,0.167,0.833
16,CBS,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,2018-06-14 16:19:32,0.1779,0.147,0.12,0.734
17,CBS,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",2018-06-12 00:19:23,-0.5562,0.134,0.315,0.551
18,CBS,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",2018-06-11 22:23:06,0.5093,0.171,0.0,0.829
19,CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",2018-06-11 19:01:38,-0.296,0.0,0.167,0.833
20,CBS,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,2018-06-11 14:00:37,0.0,0.0,0.0,1.0
21,CBS,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,2018-06-11 06:19:36,0.0,0.0,0.0,1.0
22,CBS,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,2018-06-11 06:04:41,0.4767,0.22,0.0,0.78
23,CBS,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,2018-06-11 03:10:33,0.8478,0.406,0.0,0.594
24,CBS,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,2018-06-11 03:02:06,0.92,0.463,0.0,0.537
25,CBS,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",2018-06-11 02:58:30,0.4404,0.175,0.088,0.737
26,CBS,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,2018-06-11 02:56:40,0.4404,0.153,0.0,0.847
27,CBS,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,2018-06-11 02:56:10,0.836,0.467,0.0,0.533
28,CBS,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,2018-06-11 02:53:00,0.0,0.0,0.0,1.0
29,CBS,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,2018-06-11 02:47:29,0.6369,0.318,0.0,0.682
30,CBS,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,2018-06-11 02:44:50,0.7978,0.543,0.0,0.457
31,CBS,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,2018-06-11 02:44:37,0.9523,0.516,0.0,0.484
32,CBS,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,2018-06-11 02:33:09,0.5994,0.302,0.0,0.698
33,CBS,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",2018-06-11 02:29:18,0.4215,0.123,0.0,0.877
34,CBS,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,2018-06-11 02:23:56,0.8932,0.517,0.0,0.483
35,CBS,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",2018-06-11 02:21:03,0.0,0.0,0.0,1.0
36,CBS,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,2018-06-11 02:16:06,0.0,0.0,0.0,1.0
37,CBS,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,2018-06-11 02:11:03,0.8908,0.491,0.0,0.509
38,CBS,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,2018-06-11 02:05:47,0.0,0.0,0.0,1.0
39,CBS,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,2018-06-11 02:03:31,0.4926,0.262,0.0,0.738
40,CBS,@writerlindsayb You're welcome! #TonyAwards,2018-06-11 01:58:48,0.5093,0.523,0.0,0.477
41,CBS,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,2018-06-11 01:53:17,0.7579,0.481,0.0,0.519
42,CBS,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",2018-06-11 01:51:16,0.6467,0.248,0.0,0.752
43,CBS,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,2018-06-11 01:38:23,0.0,0.0,0.0,1.0
44,CBS,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,2018-06-11 01:37:36,0.636,0.276,0.0,0.724
45,CBS,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,2018-06-11 01:30:56,0.8834,0.563,0.0,0.437
46,CBS,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,2018-06-11 01:29:21,0.0,0.0,0.0,1.0
47,CBS,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,2018-06-11 01:26:03,0.7351,0.296,0.079,0.625
48,CBS,RT @KatLargent: MAGIC #TonyAwards,2018-06-11 01:25:59,0.0,0.0,0.0,1.0
49,CBS,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,2018-06-11 01:24:46,0.0,0.0,0.0,1.0
50,CBS,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,2018-06-11 01:24:12,0.4019,0.162,0.0,0.838
51,CBS,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,2018-06-11 01:19:59,0.9151,0.457,0.0,0.543
52,CBS,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,2018-06-11 01:12:31,0.6369,0.375,0.0,0.625
53,CBS,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,2018-06-11 01:08:28,0.1511,0.102,0.0,0.898
54,CBS,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,2018-06-11 01:08:24,0.1531,0.148,0.0,0.852
55,CBS,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,2018-06-11 01:02:47,0.8834,0.563,0.0,0.437
56,CBS,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,2018-06-11 00:58:06,0.0,0.0,0.0,1.0
57,CBS,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,2018-06-11 00:52:34,0.2714,0.207,0.0,0.793
58,CBS,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,2018-06-11 00:51:11,0.0,0.0,0.0,1.0
59,CBS,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,2018-06-11 00:50:18,0.8883,0.567,0.0,0.433
60,CBS,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,2018-06-11 00:45:14,0.9134,0.613,0.0,0.387
61,CBS,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,2018-06-11 00:44:36,0.0,0.0,0.0,1.0
62,CBS,"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",2018-06-11 00:35:41,0.25,0.08,0.0,0.92
63,CBS,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,2018-06-11 00:34:45,0.4588,0.15,0.0,0.85
64,CBS,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",2018-06-11 00:31:28,0.0,0.0,0.0,1.0
65,CBS,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,2018-06-11 00:27:42,0.3612,0.263,0.0,0.737
66,CBS,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,2018-06-11 00:27:00,0.8908,0.57,0.0,0.43
67,CBS,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,2018-06-11 00:24:31,0.0,0.0,0.0,1.0
68,CBS,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,2018-06-11 00:22:15,0.0,0.0,0.0,1.0
69,CBS,RT @misschae: I love theatre so much. #TonyAwards,2018-06-11 00:22:15,0.6369,0.412,0.0,0.588
70,CBS,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,2018-06-11 00:18:16,0.0,0.0,0.0,1.0
71,CBS,"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",2018-06-11 00:13:27,0.6369,0.244,0.0,0.756
72,CBS,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,2018-06-11 00:12:31,0.8834,0.563,0.0,0.437
73,CBS,"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",2018-06-11 00:06:39,0.6696,0.36,0.0,0.64
74,CBS,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,2018-06-11 00:04:15,0.3182,0.15,0.0,0.85
75,CBS,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,2018-06-10 23:59:00,0.0,0.0,0.0,1.0
76,CBS,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,2018-06-10 23:18:15,0.4374,0.145,0.0,0.855
77,CBS,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",2018-06-10 22:01:25,0.0,0.0,0.0,1.0
78,CBS,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,2018-06-10 15:00:01,0.4184,0.157,0.0,0.843
79,CBS,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,2018-06-09 21:00:02,0.68,0.237,0.0,0.763
80,CBS,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,2018-06-09 16:00:00,0.0,0.0,0.0,1.0
81,CBS,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,2018-06-08 19:46:17,0.296,0.18,0.0,0.82
82,CBS,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,2018-06-08 15:00:03,0.0,0.0,0.0,1.0
83,CBS,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",2018-06-08 13:58:15,0.9078,0.436,0.0,0.564
84,CBS,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",2018-06-07 17:03:26,0.3612,0.128,0.0,0.872
85,CBS,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,2018-06-06 21:00:24,0.2732,0.176,0.105,0.719
86,CBS,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",2018-06-06 00:08:30,0.3595,0.128,0.0,0.872
87,CBS,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",2018-06-05 22:23:35,-0.4404,0.1,0.177,0.723
88,CBS,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,2018-06-05 22:12:28,0.4574,0.176,0.0,0.824
89,CBS,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,2018-06-05 19:00:02,0.5093,0.155,0.0,0.845
90,CBS,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",2018-06-05 15:04:41,0.0,0.0,0.0,1.0
91,CBS,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",2018-06-04 17:00:00,0.0,0.0,0.0,1.0
92,CBS,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",2018-06-01 17:39:17,-0.3903,0.062,0.131,0.807
93,CBS,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,2018-06-01 17:00:03,0.8442,0.336,0.0,0.664
94,CBS,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",2018-05-31 23:50:00,0.8932,0.455,0.0,0.545
95,CBS,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",2018-05-30 15:07:34,0.4926,0.151,0.0,0.849
96,CBS,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",2018-05-28 21:00:01,0.0,0.0,0.0,1.0
97,CBS,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,2018-05-28 02:08:19,0.0,0.0,0.0,1.0
98,CBS,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,2018-05-23 23:07:38,0.6239,0.203,0.0,0.797
99,CBS,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",2018-05-23 19:02:43,0.5859,0.174,0.0,0.826
100,CBS,Prepare yourself. The @NCIS_CBS season finale is unlike any other. Don't miss it TONIGHT at 8/7c. https://t.co/MOH6uiFc0C,2018-05-22 23:19:40,0.1139,0.083,0.0,0.917
101,CBS,"Summer heats up with @CBSBigBrother, @SalvationCBS, and the brand-new competition series @TKOCBS. Find out when you… https://t.co/DxE7OnKs17",2018-05-22 20:02:22,0.0,0.0,0.0,1.0
102,CBS,Who’s going to be watching the season finale of @ManWithAPlan tonight? RT if you'll be tuning in at 8:30/7:30c! https://t.co/ARLRtVuGuc,2018-05-21 23:00:01,0.0,0.0,0.0,1.0
103,CBS,The season finale of @MadamSecretary will leave you speechless! Make sure to tune in tonight at 10/9c. https://t.co/hqxkLZsWpl,2018-05-20 20:00:00,0.3382,0.131,0.061,0.808
104,CBS,The @NCISLA season finale is going to be a wild ride. Don't miss all of the action starting TONIGHT at 8/7c! https://t.co/PNtUuVf9VQ,2018-05-20 17:00:01,0.1867,0.08,0.0,0.92
105,CBS,Retweet if you're ready for the #RoyalWedding! https://t.co/k57NM7OrXn,2018-05-19 08:00:01,0.4199,0.285,0.0,0.715
106,CBS,It's going down (literally) on the Season Finale of @HawaiiFive0CBS when a submarine appears off the coast of Waiki… https://t.co/oD7Le5XUz6,2018-05-18 21:00:01,0.0,0.0,0.0,1.0
107,CBS,"The #RoyalWedding is finally here, and you're invited! Join @CBSThisMorning’s @GayleKing and @etnow’s @KevinFrazier… https://t.co/Q5xiRkXLUz",2018-05-18 14:00:03,0.3595,0.151,0.0,0.849
108,CBS,When the @LifeInPiecesCBS season finale is back-to-back episodes. 👏 Get ready for double the laughs at 9/8c! https://t.co/SYW5UzXobv,2018-05-17 23:44:27,0.7177,0.261,0.0,0.739
109,CBS,Rules were made to be broken.💥 Don't miss the heart-pounding season finale of @swatcbs TONIGHT at 10/9c! https://t.co/NXLbeIrvcp,2018-05-17 21:19:59,0.1867,0.093,0.0,0.907
110,CBS,"Is it fall yet? Check out the first looks at our new fall shows and stars from the CBS Upfront!

https://t.co/l7GQVRzRFw",2018-05-17 19:12:51,0.0,0.0,0.0,1.0
111,CBS,How many shows can you binge in a month? Find out with a 1 month free trial of CBS All Access! Use code STREAMITALL… https://t.co/yccQppCaxC,2018-05-17 13:00:00,0.5562,0.146,0.0,0.854
112,CBS,"Save the dates! The CBS Fall lineup is here, and we're welcoming six new shows in addition to returning hits. Which… https://t.co/f9PSQfpHL7",2018-05-17 00:00:00,0.75,0.242,0.0,0.758
113,CBS,What happens when the friendliest guy in the Midwest moves his family next door to a not-so-friendly new LA neighbo… https://t.co/KtEoNE3deL,2018-05-16 22:56:24,0.5574,0.159,0.0,0.841
114,CBS,"When @MurphyBrownCBS returns to the news world, things sure won't be what they used to be! The revival of the groun… https://t.co/jJcgyqyDxL",2018-05-16 22:56:24,0.3802,0.11,0.0,0.89
115,CBS,"When decorated former Navy SEAL Thomas Magnum returns home to Hawaii, he embarks on a new mission: solving cases in… https://t.co/6n2MWY3c2f",2018-05-16 22:56:23,0.34,0.112,0.0,0.888
116,CBS,The ordinary turns extraordinary for this suburban couple when an exuberant young pop star unexpectedly moves in wi… https://t.co/9xaAUSm5nm,2018-05-16 22:56:23,0.5859,0.174,0.0,0.826
117,CBS,An outspoken atheist's life takes a surprising turn when he accepts a social media friend request from God! Watch w… https://t.co/EbVbL0SNDk,2018-05-16 22:56:23,0.8398,0.4,0.0,0.6
118,CBS,"When danger threatens the nation, these elite agents risk their lives to keep it safe. Join them on the case when n… https://t.co/LuSY0jXBf9",2018-05-16 22:56:23,-0.4588,0.163,0.26,0.577
119,CBS,Meet the new shows coming to CBS this fall!,2018-05-16 22:56:22,0.0,0.0,0.0,1.0
120,CBS,So much TV to love! ❤️ Be sure to follow the shows of the CBS 2018-2019 primetime lineup and stay up-to-date on the… https://t.co/lQwGtznj5i,2018-05-16 21:46:07,0.7777,0.228,0.0,0.772
121,CBS,"Every mission leaves its mark. Join us in the final mission to avenge Echo Team's deaths, tonight at 9/8c during th… https://t.co/SlfprTVDgD",2018-05-16 18:05:27,0.296,0.095,0.0,0.905
122,CBS,"Get ready for three new comedies, five new dramas and the return of the critically acclaimed @MurphyBrownCBS. Here'… https://t.co/alHwUTRFKh",2018-05-16 13:52:57,0.6369,0.234,0.0,0.766
123,CBS,"RT @happytogether: When an international pop star moves into your house, life gets a little more interesting! @wayansjr, @AmberoniStevens a…",2018-05-16 13:24:14,0.46,0.143,0.0,0.857
124,CBS,"RT @TheNeighborhood: You can’t pick your neighbors, but Calvin sure wishes he could! @CedEntertainer stars in the new comedy #TheNeighborho…",2018-05-16 13:23:26,0.8122,0.33,0.0,0.67
125,CBS,Tonight's the night - Agent Dwayne Pride's fate will be revealed. Don't miss the special two-hour season finale of… https://t.co/52amkSiNcA,2018-05-15 20:16:38,-0.2057,0.07,0.109,0.821
126,CBS,"Donuts down, hands up! Get ready for a dramatic turn on the finale of @SuperiorDonuts TONIGHT at 9/8c. 🍩https://t.co/f5VSqOlRYu",2018-05-14 20:59:11,0.4199,0.141,0.0,0.859
127,CBS,"RT @MagnumPICBS: Thomas Magnum is back on the case! @jay_hernandez stars in #MagnumPI, coming to #CBS. https://t.co/R1aURqMawD",2018-05-14 18:17:23,0.0,0.0,0.0,1.0
128,CBS,"RT @GodFriendedMe: You never know who's going to send you a friend request. #GodFriendedMe, the new drama series starring @hall_m_brandon a…",2018-05-14 18:16:12,0.4939,0.144,0.0,0.856
129,CBS,RT @TheRedLineCBS: Three Chicago families’ lives converge in the wake of a mistaken shooting. From acclaimed producers @ava and @GBerlanti…,2018-05-14 18:15:36,-0.3612,0.0,0.122,0.878
130,CBS,"RT @FamCBS: No family is perfect, especially this #FAM! @ninadobrev, @toneBell and @odessaadlon star in the new #CBS comedy #FAM. https://t…",2018-05-14 18:15:08,0.6476,0.243,0.082,0.674
131,CBS,"RT @TheCodeCBS: Their code is honor, courage and commitment. They pursue military justice at home and abroad. #TheCode coming to #CBS. http…",2018-05-14 18:14:46,0.9081,0.408,0.0,0.592
132,CBS,RT @FBICBS: Meet the FBI agents who are investigating the most dangerous cases threatening our nation. From Emmy Winner Dick Wolf and the t…,2018-05-14 18:14:22,-0.762,0.111,0.303,0.586
133,CBS,RT @MurphyBrownCBS: The ground-breaking comedy returns. #MurphyBrown coming to #CBS. https://t.co/di8GXoVPjh,2018-05-14 18:13:58,0.3612,0.2,0.0,0.8
134,CBS,RT @StrangeAngel: Play with fire. 🔥 #StrangeAngel launches June 14 on #CBSAllAccess. https://t.co/xiFSkVz1vB https://t.co/Aw3kGeHyj4,2018-05-14 14:42:00,-0.34,0.132,0.264,0.604
135,CBS,"Happy #MothersDay to the moms who comfort us, understand us, and keep us centered. We ❤️ you. https://t.co/4YDmZrTGIC",2018-05-13 13:16:14,0.7351,0.267,0.0,0.733
136,CBS,The more the merrier! CBS has ordered five more shows that just might become your new favorites next season:… https://t.co/2g5OSj2xPu,2018-05-11 23:00:40,0.7245,0.252,0.0,0.748
137,CBS,Thinking about the @BlueBloods_CBS season finale like… Don’t miss the surprising reveal TONIGHT at 10/9c. https://t.co/8ExkPFpnFj,2018-05-11 20:55:08,0.128,0.119,0.09,0.791
138,CBS,"Double the @MomCBS, double the fun! Anyone else feel like they hit the jackpot with the back-to-back Season Finale… https://t.co/ebq8WJLKGf",2018-05-10 23:11:17,0.7263,0.253,0.0,0.747
139,CBS,"2 suitors, 1 Meemaw and 1 Sheldon. You won’t want to miss the season finale of @YoungSheldon tonight at 8:30/7:30c. https://t.co/Hht2yRE7ly",2018-05-10 19:24:10,-0.0772,0.069,0.085,0.847
140,CBS,Broadway's Biggest Night is around the corner! Who are you hoping to see? #TonyAwards2018 ✨ https://t.co/KLT8QCxWcK,2018-05-10 18:03:26,0.6588,0.278,0.0,0.722
141,CBS,"The big day is finally here, and you’re invited. 👰 Make sure to tune in to the @bigbangtheory’s star-studded #ShAmy… https://t.co/la9E6tvQ5b",2018-05-10 15:30:40,0.3182,0.095,0.0,0.905
142,CBS,"Before the #ShAmy wedding tomorrow, the @bigbangtheory stars &amp; special guests play a game of ""yay or nay"" with thes… https://t.co/ZpCM16qOyT",2018-05-09 21:35:00,0.8176,0.333,0.0,0.667
143,CBS,Get ready for more laughs! Learn more about the two new comedies coming to CBS: https://t.co/cpT3fd2RH5 https://t.co/NGrcp803zW,2018-05-09 19:36:24,0.8395,0.391,0.0,0.609
144,CBS,"Goodbyes are never easy.  After 15 seasons, don’t miss Abby’s final episode of @NCIS_CBS tonight at 8/7c.  https://t.co/GTGj2YRJA1",2018-05-08 22:26:55,-0.4599,0.0,0.2,0.8
145,CBS,Will you be watching the @BullCBS Season 2 Finale tonight at 9/8c? RT if your answer is yes! https://t.co/OxnyEDVsKj,2018-05-08 19:55:32,0.4574,0.15,0.0,0.85
146,CBS,RT @thegoodfight: Listening to #QueenBaranski read fan tweets is like poetry. 😍 Warning: this video will give you ALL the feels. ☺️❤️ #TheG…,2018-05-08 17:18:20,0.6597,0.242,0.075,0.683
147,CBS,"RT @KevinCanWaitCBS: Season 2 of #KevinCanWait comes to a close tonight, and @KevinJames and @LeahRemini have A LOT to say about it. https:…",2018-05-07 17:50:20,0.0,0.0,0.0,1.0
148,CBS,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,2018-05-04 21:00:00,0.5093,0.13,0.0,0.87
149,CBS,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,2018-05-04 18:42:12,0.6996,0.225,0.0,0.775
